,Mes,Item_Commodity,CantidadPedida,CantidadRecibida,PrecioUnitario,Total
94,2018-05,6544,7.0,2.0,266.3274085714286,1864.3
95,2018-05,6545,167.0,37.0,21.764683333333334,3576.67
96,2018-05,6547,21.0,4.0,24.30468,513.78
97,2018-05,6548,2400.0,500.0,19.48876358823529,65114.020000000004
98,2018-05,6551,1620.0,400.0,1.7998246153846154,2915.75
99,2018-05,6552,138.0,12.0,7.53433,1003.3199999999999
100,2018-05,6553,720.0,0.0,1.558807,1122.36
101,2018-05,6556,120.0,10.0,8.38438,1006.1299999999999
102,2018-05,6560,80.0,0.0,4.515814,361.28
103,2018-05,6561,4.0,1.0,50.47176225,201.89
104,2018-05,6562,1150.0,500.0,0.7007113333333334,805.84
105,2018-05,6563,1800.0,250.0,1.0478621000000001,1886.1399999999999
106,2018-05,6564,400.0,0.0,1.4589,583.56
107,2018-05,6565,400.0,100.0,0.92839625,371.36
108,2018-05,6566,400.0,0.0,1.4238,569.52
109,2018-05,6567,370.0,50.0,14.861995285714286,4274.72
110,2018-05,6569,380.0,0.0,8.185501875,3747.7199999999993
111,2018-05,6571,2900.0,650.0,2.1634837222222227,2743.22
112,2018-05,6573,80.0,0.0,4.0851,326.8
113,2018-05,6575,8.0,0.0,12.6294,101.04
114,2018-05,6579,88.0,24.0,13.301475,1169.26
115,2018-05,6580,240.0,40.0,3.731807083333333,895.6800000000001
116,2018-05,6581,1400.0,100.0,2.719991,3807.9300000000003
117,2018-05,6585,16.0,8.0,45.661424,724.94
118,2018-05,6586,6.0,0.0,22.5675,135.41
119,2018-05,6589,120.0,90.0,1.0509466666666667,126.12
120,2018-05,6598,800.0,0.0,1.2952365000000001,1036.16
121,2018-05,6599,200.0,0.0,1.376395,275.28
122,2018-05,6600,180.0,0.0,5.983888666666666,1077.1
123,2018-05,6606,400.0,0.0,3.502,1400.8
124,2018-05,6607,240.0,0.0,5.291225875,1269.93
125,2018-05,6610,1002.0,180.0,8.683852777777778,12780.57
126,2018-05,6614,18.0,0.0,54.67175,984.0899999999999
127,2018-05,6617,3300.0,510.0,4.009953846153846,13247.310000000001
128,2018-05,6618,144.0,18.0,16.86776,2481.26
129,2018-05,6619,588.0,60.0,13.367021099999999,7864.76
130,2018-05,6625,59.0,20.0,19.144432857142856,1128.3
131,2018-05,6628,15.0,0.0,30.5085,457.62
132,2018-05,6632,720.0,0.0,1.099153,791.4
133,2018-05,6635,97.0,43.0,18.194142222222222,1775.1399999999999
134,2018-05,6638,30.0,0.0,2.5,75.0
135,2018-05,6641,960.0,120.0,1.3180566666666667,1266.4099999999999
136,2018-05,6644,252.0,0.0,4.62,1164.24
137,2018-05,6645,300.0,0.0,0.876988,263.1
138,2018-05,6646,800.0,200.0,1.54654625,1237.23
139,2018-05,6647,600.0,30.0,2.816,1689.6000000000001
140,2018-05,6649,3200.0,400.0,1.3475,4312.0
141,2018-05,6652,320.0,40.0,1.27205,407.04
142,2018-05,6653,18.0,2.0,23.32,419.76
143,2018-05,6654,2500.0,600.0,0.843565,2108.88
144,2018-05,6655,184.0,42.0,13.958857142857141,2565.52
145,2018-05,6658,128.0,0.0,3.3898,433.90000000000003
146,2018-05,6660,106.0,36.0,24.5168,2598.7999999999997
147,2018-05,6663,1300.0,100.0,1.2126,1576.38
148,2018-05,6664,1300.0,300.0,1.9532999999999998,2539.29
149,2018-05,6666,840.0,196.0,5.201073357142858,4367.17
150,2018-05,6667,150.0,30.0,26.8328,4024.92
151,2018-05,6671,86.0,16.0,14.85945,1277.9299999999998
152,2018-05,6672,1400.0,200.0,0.33508885714285713,469.12
153,2018-05,6673,260.0,50.0,3.630667846153846,943.99
154,2018-05,6676,160.0,40.0,21.070728666666668,3371.3
155,2018-05,6677,100.0,20.0,1.163457,116.35
156,2018-05,6678,720.0,80.0,8.75225,4072.4900000000002
157,2018-05,6680,400.0,50.0,2.6900724444444446,1143.27
158,2018-05,6681,245.185,59.0,3.999479,980.61
159,2018-05,6682,132.0,34.0,14.242219461538461,1879.9699999999998
160,2018-05,6692,62.0,15.0,20.274423636363636,1247.24
